"gene","log2FoldChange","padj","significant"
"ZEB1-AS1",0.358783085026007,0.148012471442943,FALSE
"MESP2",0.732521580953022,0.149311546748348,FALSE
"MMP17",0.747075423914583,0.149311546748348,FALSE
"PCDHB15",0.606312262293697,0.149311546748348,FALSE
"BMP2K",-0.302487574430765,0.149311546748348,FALSE
"HOMER2",0.854721893281422,0.149311546748348,FALSE
"NPTN-IT1",-0.789619942088569,0.149311546748348,FALSE
"NOTUM",-1.46819469949116,0.149311546748348,FALSE
"SYNGR3",0.827185683166745,0.150286135497072,FALSE
"RP11-398C13.6",0.383751724139453,0.150850414783049,FALSE
"KLK12",-1.22609045552668,0.150850414783049,FALSE
"RP11-609N14.4",-0.865533083372467,0.15414886198812,FALSE
"HSPA1B",0.381186745777814,0.15414886198812,FALSE
"FAM151B",-0.347371475690891,0.159709112468346,FALSE
"RP11-598P20.3",-0.542777633754945,0.17324352448694,FALSE
"GPR97",-0.694908217477958,0.173453145612624,FALSE
"RP3-405J10.3",-0.832316558020293,0.173453145612624,FALSE
"KL",0.865130216508954,0.17891895312909,FALSE
"SLC30A4",-0.488350394976583,0.1806261254258,FALSE
"H19",1.05315100892291,0.1806261254258,FALSE
"RBP1",-0.841862016908373,0.1806261254258,FALSE
"PMEL",-0.564211006698641,0.1806261254258,FALSE
"PCCA",-0.634322143240061,0.1806261254258,FALSE
"RP11-872J21.5",-0.596305212189747,0.184219756129914,FALSE
"SIGLEC15",0.911165484545129,0.185887399266637,FALSE
"COL9A3",-0.957798496531962,0.185887399266637,FALSE
"SYP",0.674726485028846,0.185887399266637,FALSE
"CCDC7",-0.485785257570566,0.18662253023887,FALSE
"EEF1DP1",-0.81567998933688,0.187126991831508,FALSE
"APCDD1",-0.849851268717051,0.188139341972135,FALSE
"RP11-356I2.4",-0.484095499569478,0.191716665758173,FALSE
"REG4",-1.3985419889832,0.191716665758173,FALSE
"KIAA0825",-0.457681479814424,0.205013286453025,FALSE
"RP11-981G7.6",-0.721886089212892,0.207808000903172,FALSE
"LRRFIP1P1",0.45731137417727,0.210300818053299,FALSE
"C20orf96",0.289440444830874,0.210300818053299,FALSE
"PADI1",0.976867499864135,0.213231119957028,FALSE
"ATP2A1",0.530281238999785,0.213231119957028,FALSE
"PCDHB11",0.809660715985885,0.213694419715455,FALSE
"HSD17B7P2",0.406737185342529,0.221301884455519,FALSE
"RP1-292B18.1",-0.515547508041939,0.221617617671585,FALSE
"C12orf5",0.445417775273033,0.221617617671585,FALSE
"ZNF460",-0.831149497700241,0.221617617671585,FALSE
"COL11A2",-0.762552029929886,0.221617617671585,FALSE
"HOOK3",-0.382833283662078,0.225290884706534,FALSE
"SOX30",0.569429282463608,0.230218659338435,FALSE
"CTC-425O23.5",-0.552183449319539,0.233552650202974,FALSE
"RP11-286N22.8",-0.53569545980436,0.240981419681226,FALSE
"PCED1A",0.373872260913733,0.252534064752962,FALSE
"RP11-495P10.1",-0.646501130848431,0.252534064752962,FALSE
"CNFN",-0.572242535604198,0.258864291772384,FALSE
"AP006621.5",0.362814946811184,0.258864291772384,FALSE
"AC093110.3",-0.616512052172432,0.258864291772384,FALSE
"CCL22",-0.622131083731335,0.258864291772384,FALSE
"RP11-159J3.1",-0.823667750397111,0.258864291772384,FALSE
"MTMR7",-0.510318753940397,0.258864291772384,FALSE
"RP11-119B16.2",0.408672186178357,0.264507353228923,FALSE
"TECRP1",-0.498427217325769,0.264507353228923,FALSE
"CTD-2349P21.9",0.688008477403806,0.266569033329003,FALSE
"RP5-940J5.6",-0.51108632476515,0.27010197527851,FALSE
"NOS2",-0.771151685290017,0.272955133622261,FALSE
"CTB-55O6.12",-0.425726553876202,0.275128526670025,FALSE
"BGLAP",0.503668486909103,0.275128526670025,FALSE
"KRTAP5-1",0.546814270647925,0.275128526670025,FALSE
"EVI5",-0.258435717277788,0.275128526670025,FALSE
"CRLF1",0.472719424895445,0.277163175668949,FALSE
"CATSPERB",-0.522352862163325,0.278995187846596,FALSE
"CCDC108",0.626150632142669,0.281084319036224,FALSE
"GCSAM",-0.552958051003404,0.283401935835962,FALSE
"HGSNAT",-0.26137656671055,0.283401935835962,FALSE
"CALM2P2",-0.58253645283915,0.283401935835962,FALSE
"NAPSA",-0.689535334098309,0.284852268823426,FALSE
"RAB3B",-0.731069524682355,0.285262605007844,FALSE
"GRK4",-0.222685724447976,0.289816042696847,FALSE
"GRAMD1B",0.644871948399888,0.289816042696847,FALSE
"KRT15",0.549433572175621,0.294317929472497,FALSE
"EDEM1",-0.223453029258364,0.294683824296056,FALSE
"MS4A2",-0.727681324572325,0.294683824296056,FALSE
"TFPI2",-0.886941916742278,0.29718913067805,FALSE
"ZCCHC3",0.243312052193206,0.299404215031816,FALSE
"AL133243.1",-0.619392567345836,0.306971082803565,FALSE
"RP11-278A23.1",0.418931736914161,0.309271122124756,FALSE
"NGRN",0.193531319538008,0.313014382707438,FALSE
"MUC3A",-0.483486550739682,0.318830797261917,FALSE
"WFDC2",-0.865408511690279,0.321348512412156,FALSE
"PMF1-BGLAP",0.409953234136478,0.322579884471846,FALSE
"ILDR2",0.530019136723338,0.327460428653247,FALSE
"ANKLE1",0.716143076369828,0.327460428653247,FALSE
"LRRC4",-0.682427411091598,0.327460428653247,FALSE
"AC112229.1",0.585838277082596,0.327460428653247,FALSE
"LYST",-0.406641110684161,0.327944027882328,FALSE
"VMP1",-0.329857684661181,0.328360122992937,FALSE
"LINGO1",0.575879835716388,0.33338483234042,FALSE
"DRD4",0.516821569224077,0.337728493381792,FALSE
"MTUS1",-0.340811536918212,0.337728493381792,FALSE
"VDAC3",-0.278706820712987,0.346350684394214,FALSE
"ILF3-AS1",0.269241178886057,0.346881837661424,FALSE
"RNF4",-0.12871121035481,0.352907734820954,FALSE
"GSR",-0.290494073917129,0.361913227960412,FALSE
"PHOSPHO1",-0.489781324404657,0.361913227960412,FALSE
"TEX2",-0.164511932421057,0.372286715743187,FALSE
"CTA-941F9.10",-0.67525289245381,0.372286715743187,FALSE
"TM4SF4",1.35183118505113,0.372286715743187,FALSE
